,reviews,dates,names
43,"""Simple policy setup and annual review of sum insured to keep pace with market inflation. Easy to communicate with and could recommend to others.""",2021-10-26,Leslie (QLD)
44,"""I like the ease of the application process, and that they offer a discount with AIA Vitality..""",2021-10-13,Jeremy (QLD)
45,"""Customer Service is poor. Wait a long time for a phone call to speak to human. Email sent and wait many days (usually nearly a week) to get a reply. Form is hard to find. Customer service person is not really knowledgable and don't understand English much. I am only stick with this insurer because the features and premium is worth these hassles. Pro-tips: Use Financial Advisor who has a lot of patience to have these headaches between you and AIA, so you save your day and live a happy life..""",2021-10-11,Vorrasit (QLD)
46,"""Premium increases of 25-35% per year. Send me dozens of letters in the post per year (I would prefer email), no online customer portal..""",2021-10-09,Anthony (NSW)
47,"""I never used it! got it from my friend who sells insurance. But one time it sent me a letter advising my beneficence been changed, which I didn't. I called few times and complaint. They said my profile was not updated but never explained why this letter got sent to me. Finally got a apology letter after I refused to renew my policy and my friend pushed from her end. Really really disappointed, not just because of the mistake which is a huge security breach, but also their response and action after that..""",2021-10-08,Feng (QLD)
48,"""Premiums expensive, but so are all life insurance policy premiums..""",2021-10-08,Shui (VIC)
49,"""I did try to make an income insurance claim but I had to wait not only until I'd been off for the waiting period but also I had used all leave I had owing. My Long Service Leave chewed up the rest of my convalescence and no claim was lodged..""",2021-10-08,Tom (QLD)
50,"""I've never dealt with them and as they're the underwriter to my superannuation provider, I had no involvement in the choice to go with them. I can't really comment on them other to say that their benefits seem OK given I'm not paying for them personally..""",2021-10-08,Evan (NSW)
51,"""This insurance is very expensive but they all are. Made a claim, but it was actually by accident, after coming across a section in our paperwork that related to a procedure I had, so regular helpful communication may have helped us realise earlier that this could be claimed for..""",2021-10-07,Tamara (SA)
52,"""I love the AIA Vitality program but the rest of their systems and processes are antiquated. There's no online portal to check your account or download policy info. Everything is done via snail mail and paper. You have to use an insurance agent to take out a policy in the first place. They need to get with the 21st century.""",2021-06-06,Michelle (QLD)
53,"""Have been very happy with the information provided to me and having the addition of AIA vitality.""",2021-06-04,Elias (NSW)
54,"""Open this policy well over 15 years ago. Had little to no correspondence from AIA. All communication had to be initiated by me. Not sure if policy is still relevant for my current situation.""",2021-06-04,David (QLD)
55,"""Nice and easy, all done through my super fund and barely any paperwork for me to fill out..""",2021-05-12,Ben (QLD)
56,"""They provide an effortless way to keep you insured and peace of mind know that you're fully covered.""",2021-04-23,Michael (NSW)
57,"""Good comms, a seamless application process and great value for money, Highly recommended..""",2021-04-08,Ronald (NSW)
58,"""The sign up process was straight forward and offered what we needed..""",2021-03-09,Daniel (QLD)
59,"""I have no issue with the company and I definitely recommend them to others.""",2021-02-27,Sukhwinder (VIC)
60,"""Friendly customer service, have not had any issues with them. I've also never had to claim, but I'm confident that they'd be helpful..""",2021-02-16,Anthony (WA)
61,"""Hubby and I have life and TPD insurance through our super. As we get older the insurance cover drops but the premiums keep rising. Very shabby treatment since we have been with them since 2012..""",2021-02-15,Sonia (VIC)
62,"""Having life and TPD insurance provided by AIA via my super fund means I don't need to deal with the insurance company. I feel the premiums are lower than they would be if I paid AIA directly, and the premiums come out of my employer contributions so I dont pay income tax on them..""",2021-01-17,Simon (SA)
63,"""I think they are sufficient for the purposes i am getting insured for. no complaints but no praises either. however their aia vltality program is pretty good.""",2021-01-17,Jhin (VIC)
64,"""Dislike: I am on a level premium, yet my premium for 2020 increased by 15% which they stated was due to external factors Like: AIA Vitality program offering benefits (although, they're probably using the data received to increase policies).""",2021-01-17,Richard (ACT)
65,"""Have not had to claim, so haven't been able to test them effectively..""",2021-01-17,Bryce (SA)
66,"""I was very healthy when I signed up. I was terminally ill with terminal heart failure, as diagnosed and documented by end stage heart failure team/ transplant team Acting Medical Director and heart transplant surgeon. I was terminally ill for about 2 weeks. Proof was provided. Weirdly I survived, and have received a gifted heart for which I am grateful every day. There was no possible way to predict this (no family history) and my claim for terminal illness and IP payments were both perfectly legitimate. I desperately want to return to work, but I will never be able to return to work full time. I should be insured for his, but my impression is that AIA only want to save as much money as possible by delaying my claim and only try to defend themselves to a very low standard in the AFCA Ombudsman cases. Heart transplants and mechanical hearts are, by definition, palliative interventions. They don't provide a cure, they just prolong life and never allow a full recovery. My main concern is the number of stroke events I have experienced already, and how this impacts my work capacity. Having a completely unsupportive insurer only adds to the stress, and this stress has immediately preceded two stroke events (I even had an alarm during a phone call with AIA claims assessor, and this was recorded and preceded a hospitalisation for a TiA by around a week). Please be careful when choosing any kind of life insurance product. You think you're buying assurance for your family, but you will not know if your insurer is any good until you make a claim. By then it's too late. AIA have had to pay extra benefits already and pay to meet a determination in my favour by AFCA. It has cost them more in AFCA fees than compensation to me, so they are wasting their shareholders' and policyholders money in fighting 'losing battles' in AFCA. I am now trying to have the rehabilitation benefits to pay for cardiac monitoring equipment for my fitness/ rehabilitation training and gym membership. AIA will almost certainly deny this and again spend more money fighting the case than they would to support my rehabilitation. I'm determined to return to work part time, based on medical advice. I'm not ready to be thrown on the scrap heap, but I will not be able to maximise my recovery without AIA's support. Do AIA want their clients to return to work and earn as much as possible, or not?.""",2020-12-16,Brett (NSW)
67,"""Any changes with this provider is done paper based. No electronic copy of forms or correspondence. Any update of information needs to be submitted via post. Value for money is pretty competitive , but not cheap. AIA vitality program is the only feature that attracts and keeps me with the provider..""",2020-11-09,Ferri (VIC)
68,"""They are excellent and vitality prizes and discounts are great too.""",2020-10-30,Jon (VIC)
69,"""No complaints, it's a lot of paperwork, but trying to up your cover is a nightmare; existing conditions greatly stifle your options..""",2020-10-20,Alex (VIC)
70,"""I have found that AIA's Vitality program to be very good value. Apart from the insurance discounts, getting a gym membership at a reduced rate and also getting rewarded for keeping active is a great benefit. I'd definitely recommend AIA and especially taking up the Vitality membership..""",2020-06-24,Enoch (VIC)
71,"""I liked the speedy service whenever you ring up but didn't like the service after you have signed up..""",2020-06-22,Fong (NSW)
72,"""AIA are no better, no worse than other life insurance providers..""",2020-06-21,Shui (VIC)
73,"""There's no online portal to login to so do self service things like check my cover, adjust insured amounts etc...""",2020-06-21,Eric (NSW)
74,"""I love the AIA vitality product. Would recommend them for this product . The application process was difficult at the time as I was waiting on test results but once the policy was put in place it has been simple..""",2020-05-27,Vivian (NSW)
75,"""Have been in claims process for 5 months now with hardly any communications - mine is straight forward case. Should have been over and done within 2 weeks..""",2020-05-26,Rhys (QLD)
76,"""The customer service is great and staff are helpful and easy to understand.""",2020-05-07,Linda (WA)
77,"""I would recommend AiA they have treated me with respect and transperancy.""",2020-05-06,Ronnie (WA)
78,"""AIA TPD CLAIM. DATING BACK TO 2018 AIA HAVE USED DELAY AFTER DELAY WITH QUESTIONS TO MY ACCOUNTANT, ATO ASSESSMENT NOTICES, SURGEON AND UNETHICAL COLLUSION WITH OTHER INSURANCE COMPANIES - TRYING TO SOURCE INFORMATION FROM THEM. I LODGED A COMPLAINT WITH AIA COMPLAINTS DEPARTMENT, THEY SAID THEY WOULD KEEP US UPDATED BUT NOTHING - HAD TO CONTACT THEM WE ASKED FOR AN ESCALATION OF OUR CLAIM AND A TIMELINE BUT THEN HAD TO FOLLOWUP AGAIN, AND NOW IT NEEDS TO GO TO ANOTHER DEPARTMENT FOR REVIEW. AIA WANTED A NEW DOCTOR'S REPORT FROM THE SURGEON, EVEN THOUGH THEY ALREADY HAD HIS REPORT, BUT WOULD NOT PAY FOR A NEW ONE. AIA NOW WANT TO ARRANGE AN INDEPENDENT MEDICAL EXAMINATION AFTER TALKING ABOUT THIS FOR MONTHS BU tSTILL NOTHING ORGANISED IT HAS BEEN AN ONGOING NIGHTMARE, EXTREMELY STRESSFUL WITH STILL NOOOOOO ANSWERS OR RESULTS.""",2020-04-20,TERENCE (WA)
79,"""We havent had uch to do with them on a personal basis , we went through a broker who was great..""",2020-04-02,ELIZABETH (NSW)
80,"""Took to long to Review and process my claim Too many people involved in my claim.""",2020-03-18,Grant (QLD)
81,"""AIA vitality is a great rewards benefit and provided a lot of value. The massive price increases this year was disappointing to see and hope that my level premium is not affected too much in the future.""",2020-03-11,Chris (VIC)
82,"""I have had a really good experience with this insurer and luckily, have had to make no claims touch wood!.""",2020-03-11,Rebecca (NSW)
83,"""Would like to look at other options. It was so long ago. Set and forget type of thing.""",2020-03-08,Jamel (VIC)
84,"""Straightforward and easy application, constant updates on changes and regular reminders of what I can claim and how..""",2020-03-07,Rune (VIC)
85,"""I am happy with the insurer as recommended by Yellow Brick Road overall it is good but expensive.""",2020-03-07,Pamela (VIC)
86,"""I LOVE the benefits of this life insurance... they really inspire healthy living with their incentives!.""",2020-02-28,Elise (NSW)
87,"""So far it has been an easy process, though I have never tried making a claim..""",2020-02-24,Dallas (TAS)
88,"""I have held this policy since 1985 very happy although luckily have not needed so far..""",2020-02-19,Janise (VIC)
89,"""It's a cheap product that is more than eager to take your money. However, when it comes to claims it is slow, unresponsive and provides little information to us. They're happy to continue calling you to get you off the income protection claim, but to request them for additional documentation is like the hardest task in the world. Disgusting.""",2020-02-03,Min (NSW)
90,"""The insurance is offered via my superannuation and has been easy to establish and is great value for money,.""",2020-02-02,Andrew (VIC)
91,"""Very Easy to join and great ongoing communication. They also have a fantastic app where you can see your account easily..""",2020-01-30,Matthew (NSW)
92,"""I managed a company and we use AIA for all employees not the best company I have dealt with for value for money.""",2020-01-08,Sharon (NSW)
93,"""With a ease of application there are added benefits that will keep you motivated.""",2020-01-06,Amit (VIC)
94,"""They take it upon themselves to review my premiums, without consultation..""",2020-01-02,Patrick (WA)
95,"""The insurer uses brokers, which can be very painful when you are dealing with different people all the times. However if you can get pass this, they are very good..""",2019-12-26,John (NSW)
96,"""They are hard to get to speak to a person. Send an email, no reply. Finally get a person and they are rude. Dont use them.""",2019-12-11,Margaret (NSW)
97,"""Speedy, efficient service. Good rates and easy to deal with..""",2019-10-02,Denis (QLD)
98,"""Haven't had any issues with them. AIA Vitality is a nice enough bonus program that they offer..""",2019-09-25,James (WA)
99,"""Easy to apply for increase of cover through my super website, took 48 hours to get and phone call with an answer and then they sent a confirmation letter out in the post. Was surprised that it was sent via post as everything else is done via email..""",2019-09-25,Regan (QLD)
100,"""I took this policy out when I was 32 and luckily have not needed to use it yet.""",2019-08-31,Janice (VIC)
101,"""The claims process is horrible. They were difficult to communicate with, and didn't respond favorably till I sent it to a lawyer. Would not recommend.""",2019-08-28,Roselyn (QLD)
102,"""I haven't made a claim so very hard to rate. I believe the premiums are good..""",2019-08-25,Alicia (VIC)
103,"""Incompetent, constantly making excuses for their poor performance. Have been lied to by senior staff. Have little or lame follow up processes. Extremely poor documentation of calls and important information. One central email address which important documents get lost in because it is unmanaged. They have this 20 day follow up processes which more often than not your case will lay dormant in that time followed by we are waiting on documents excuse. I get better service from centerlink than these jokes.""",2019-08-12,Christopher (QLD)
104,"""I liked the communication with the broker, promptness of communication, clarity of paperwork and comments by other policy holders in review..""",2019-07-31,Beth (QLD)
105,"""It has been a seamless exercise. They gave me the cover without any hassle.""",2019-07-25,Douglas (VIC)
106,"""I have had no issues with this insurer, and they have even come to the table over optimising my premiums to consider for financial stress during the economic recession. Quite satisfied. Reasonable Premium for the level of cover..""",2019-07-05,Paddy (WA)
107,"""I like the ease of application and AIA vitality membership attached to it..""",2019-06-18,Anna (ACT)
108,"""Donna was extremely helpful and responsive making the process easy and I'm very happy with the service. Thank you..""",2019-06-14,Kelly (VIC)
109,"""Easy to read Product Disclosure Statement, and fee structure. Product is old, so legacy customer which some of the newer customer service representatives do not have an immediate understanding of..""",2019-05-27,George (NSW)
110,"""They paid out my claim quickly which was a very pleasant surprise.""",2019-05-11,Anita (VIC)
111,"""My work pays for mine so I can't really complain. Thankfully I haven't had to use it yet!.""",2019-05-09,Tom (QLD)
112,"""Easy to deal with and good value for money. Have never had to make a claim so not sure if the process is easy or not..""",2019-04-08,Karen (NSW)
113,"""As not claimed can only judge on general responsiveness during application and change requests which have been positive. So far I would recommend..""",2019-04-05,Brian (WA)
114,"""I had Astron life insurance and went through an adviser how offered AIA at a lot less money for same benefits..""",2019-04-04,Winston (NT)
115,"""The cover is good value but have sub par service.""",2019-04-03,Lee (QLD)
116,"""They are too expensive and premiums rise too much each year they should be frozen,.""",2019-04-03,John (WA)
117,"""Price and AIA Vitality rewards health program - it pays you to get fit.""",2019-02-28,Fiona (VIC)
118,"""Just average i never call them they never call me.""",2019-02-27,Tracy (QLD)
119,"""Salesman was very personable. Price of insurance has gone from $32 per month to $59 per month in just over two years,(rounded off). This seems like a lot for a CPI of 8%? Not sure I can afford this for next 30 years on a pension as I had to leave work to care for husband. Main gripe is that after ploughing through paperwork I think it said I have to write them a letter if I no longer want payments to be stepped or simply stop paying and lose all money. I think the paperwork should be dovetailed to person's cover it's too bamboozling and a waste of paper to get all the options. There's nothing about this process that I like. I would not recommend it to anybody..""",2019-02-18,Zoe (TAS)
120,"""The insurance came with my super fund, which was transfered from my previous employer. I know I pay for the insurance, but I'm completely unaware what I'm exactly paying for, so dont have full visibility of the value of it. Payments also come out of the super fund so I dont have insight into the cost versus value..""",2019-02-18,Martin (NSW)
121,"""The policy was recommended to me by my insurance adviser, I have found it to be value for money and good in comparison to other policies..""",2019-01-28,Lisa (QLD)
122,"""I got this policy on the recommendation of my financial advisor. Agains t a number of other policies proposed, this was the best in terms of cost v benefit..""",2019-01-18,David (NSW)
123,"""Easy to deal with, claim process was straight forward and trauma payment paid within 14 days. My income protection was also paid when I had to have further surgery almost 2 years later..""",2018-11-18,Dawn (WA)
124,"""It hasn't been accepted it's still being prossed 3 weeks waiting now.""",2018-11-15,Candis (WA)
125,"""Very obvious that they are operating in the best interests of the company they are deceitful delaying onerous and not willing to help expecting us to recall events from 10 years ago and documentation from 2001 is ridiculous, and as a consequence we are going to have to engage lawyers to act on our behalf. This unnecessary impost will no doubt cost a lot and we have been charged around 3.300.00 per year for polices that they are reluctant to pay out on citing 6 months to make up there minds when what they are doing is finding a way not to pay. its my view that this is nothing more than a Chinese fly by night insurer snubbing there noses at us..""",2018-11-01,Thomas (NSW)
126,"""They give the opportunity for a service which provides incentives to know more about your health and be active..""",2018-10-20,Bill (QLD)
127,"""Yes I would recommend them. They were half the price of Real Insurance and much easier to deal with..""",2018-09-25,Karen (NSW)
128,"""AIA have been very good to me and processing the claim has been excellent. I would be happy to recommend them..""",2018-08-24,Bradley (NSW)
129,"""It was done via SGIO and we are very happy.""",2018-08-13,Paul (WA)
130,"""I highly recommend this insurer to others as it won't be a waste of money because 'you will get what you paid for'..""",2018-07-30,Shatha (NSW)
131,"""When I took out the policy I did not realise the policy increased every year and also the cost. I wish it was explained up front..""",2018-07-26,Arran (NSW)
132,"""I have never made any claims however application process seems very long..""",2018-07-24,Chris (QLD)
133,"""I love free the AIA Vitality service they offer. The gamification system of getting points for being healthy and then rewarded with vouchers and discounts has improved my health hugely over the past few months..""",2018-07-23,Sanchia (QLD)
134,"""My claim was paid within 2 weeks no hassles ,.""",2018-07-16,Kerrie (NSW)
135,"""Been great service so far. Would recommend to others needing income protection..""",2018-06-29,Murray (VIC)
136,"""On the whole it has been good, however I have a permanent disability and my partial claims occasionally take a long time to get processed and paid due to my insurer having staffing issues. Insurance Watch have been extremely helpful in speeding up the process though and I would highly recommend them to anyone..""",2018-06-20,Claire (VIC)
137,"""Dodgy , lying , decetful , sneaky criminals keep away from these guys for godscsake take ya chances with any one but AIA def not recommend only unless you want pure disappointrment.""",2018-06-14,Stuart (WA)
138,"""Insurance provider is good, provides what I pay for, haven't made a claim..""",2018-05-01,COREY (WA)
139,"""There medical process was a lot easier than the other companies suggested as i work in a physically demanding job. BUT they arent always straightforward with what the require and customer service isnt always the best.""",2018-04-05,Eliza (SA)
140,"""Claim process was handled smoothly & attending nurse was professional & caring.""",2018-03-13,Ian (VIC)
141,"""I find that it is good and provides me with the things that i need.""",2017-12-23,Holly (VIC)
142,"""For the price you pay, it's ok. Claims process can be a bit slow..""",2017-12-21,Sharon (WA)
143,"""Like the scope of policy Dislike the lack of communications and regular premium increases.""",2017-12-16,Penny (VIC)
144,"""The Vitality Program was the reason why I bought this insurance. I love it..""",2017-12-14,Belinda (VIC)
145,"""Poor clarification of policy details. Needed to make follow up enquiries to confirm policy success. Had to make multiple appointments to qualify for insurance. Medical etc..""",2017-12-04,Robert (NSW)
146,"""I think the customer service was fine when I commenced the policy.""",2017-11-27,Serina (SA)
147,"""We all knew that AIG group is huge. Especially 9-11 after with the USA govt backing. As huge pay out, is a real assurance. And save to hear to us all..""",2017-11-27,Sebastian (SA)
148,"""I liked the efficient, value for money & professional customer service provided by InsuranceWatch & I would rate them very highly. I didnât like completing the very long document for the insurer but I realise this is to determine the risk for the insurer & ultimately gives me a lower premium. Would certainly recommend Insurance Watch to anyone looking for insurance cover..""",2017-11-14,Geoffrey (VIC)
149,"""NEVER use them. Shocking company and do not accept answers from females. Sexist.""",2017-10-27,Leanne (SA)
150,"""Very easy process and very pleasant to seal with. Time frame was expected due to the nature of insurance requested. Would and have recommended to others..""",2017-05-05,Toni (NSW)
151,"""Impossible to get in contact with them, wait for over 45 minutes on the phone. Email them and they either take forever to respond or don't respond at all..""",2017-04-26,Adam (VIC)
152,"""Aia vitality is great for regular gym users and has extras like cheap movie tickets..""",2017-01-06,Catherine (NSW)
153,"""Aia vitality is a good policy with extra benefits if you are a gym user..""",2017-01-06,Stephen (NSW)
154,"""The application process was easy and the insurer responded quite quickly putting the cover requested in place..""",2016-10-06,Sharon (QLD)
155,"""Donna's professional handling of the application process was easy and efficient. AIA was very competitive and offered the exact product I was looking for.""",2015-11-20,Grant (QLD)
156,"""Insurance Watch has been wonderful in a assisting me with the right and affordable policys!!.""",2015-08-24,Karen (QLD)
157,"""The claim process was hassle free. Donna at insurance watch was very helpful and patient. She also responded to all my emails promptly and professionally. I would recommend insurance watch to others..""",2015-08-05,Brodie (QLD)
158,"""The customer service was very personalised and is of high quality. We received our 20% cash back cheque without having to follow it up..""",2015-05-20,Luke (NSW)
159,"""I applied over the phone and the results were mis-understood. I think they need to provide more instruction when talking about your medical history. My experience was that you really need a print out from your doctor for all treatments in the relevant period - it is impossible to remember and this can come back to bite you. It also wasn't clear that you had to pay tax from your monthly benefits - this was not revealed until a claim was made. I wouldn't recommend and I wouldn't advise not to use them either. Everyones circumstances are different so they need to do the research for themselves..""",2015-04-07,Lisa (NSW)
160,"""The liked the ease of apply for the insurance through insurance watch..""",2015-03-23,Linda (VIC)
161,"""Very satisfied with ease of application and timeliness of responses..""",2015-03-07,Geoffrey (NSW)
162,"""Very good value for money would recommend to others. Also Insurance Watch kept me in touch all the way..""",2015-01-09,Mark (NSW)
163,"""I liked that I could do the insurance online instead of having to see an advisor personally..""",2015-01-07,Wayne (QLD)
164,"""Was happy with the application process being online rather than having to waste time making an appointment to see someone in person.""",2015-01-07,Pamela (QLD)
165,"""Did not like the complexity of arranging the 20% rebate otherwise it was good.""",2015-01-01,Peter (NSW)
166,"""Great company to deal with. All problems were addressed and fixed as requested and in a very timely manner..""",2014-12-12,John (NSW)
167,"""Fast process, clear communications, average pricing, I would recommend to others..""",2014-11-13,Mark (WA)
168,"""Very competitive pricing and good reward for being healthy with good lifestyle choices.""",2014-10-01,Sonia (TAS)
169,"""Very good value for money that my banker would not believe me it's such a cheap premium for this income protection insurance. This is despite the ceiling benefit is only $5K which is below my monthly salary..""",2014-08-21,Emil (NSW)
170,"""A sudden hike in fees caused me to start searching elsewhere...before that all was ok..""",2014-07-28,Louise (TAS)
171,"""I bought a Life Insurance with this insurer via broker who offered a 50% discount to be refunded to me at the end of 12 months. I was quite happy with product and service rendered as they sent a nurse to my place to take blood sample and everything went well in terms of processes. I must admit I haven't read the fine print on exclusions though I was assured by the broker that it is meant to be a full cover insurance. I would like to find out if I would be better off under Insurance watch. Need to look into it further later before next renewal in Dec 2014..""",2014-07-20,Abbie (WA)
172,"""I like that AIA provides family protection. Application was real easy and what I get is very clear..""",2014-07-17,Shih (VIC)
173,"""I'm too lazy to change it over but basically I just leave it on as is. One of the main reason I keep it is because it can be invested somewhere and I get bonus once every 3 years..""",2014-06-23,XIAOBO (NSW)
174,"""The whole process was done online. A little lengthy, less paper work would have been appreciated..""",2014-06-04,Mariela (NSW)
